town,flat_type,street_name,flat_model,resale_price
ANG MO KIO,1 ROOM,ANG MO KIO AVE 1,Improved,9000.0
ANG MO KIO,1 ROOM,ANG MO KIO AVE 1,Improved,6000.0
ANG MO KIO,1 ROOM,ANG MO KIO AVE 1,Improved,8000.0
ANG MO KIO,1 ROOM,ANG MO KIO AVE 1,Improved,6000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,New Generation,47200.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,46000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,42000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,38000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,40000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,43000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,New Generation,59000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,New Generation,47200.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,New Generation,35000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,New Generation,52000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,56900.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,New Generation,40000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,New Generation,40000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,New Generation,47200.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,New Generation,37000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,60000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,40000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,41000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,New Generation,37000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,New Generation,34000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,36000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,45000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,44000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,44000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,50000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,47200.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,58000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,45000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,44000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,53000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,44000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,45000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,40000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,42000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,56000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,36000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,48000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,47200.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,37000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,45000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,37000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,34000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,40000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,41000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,41000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,50000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,45000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,38000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,37500.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,52500.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,35000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,35000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,47200.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,43500.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,37000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,47200.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 3,New Generation,52000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,37000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,38000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,45000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,46000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,47200.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,46500.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,35000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,43000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,47200.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,46500.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,44000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 8,New Generation,43000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 8,New Generation,34500.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,45300.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,New Generation,50000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,New Generation,42000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,47200.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 8,New Generation,52500.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 8,New Generation,45500.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,35000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,44000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 10,New Generation,63000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 6,New Generation,45600.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 6,New Generation,47000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,New Generation,52000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 1,New Generation,43000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,New Generation,38000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,52500.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 4,New Generation,39000.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,52500.0
ANG MO KIO,3 ROOM,ANG MO KIO AVE 5,New Generation,52000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,80000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,72000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,72000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 1,New Generation,86000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 4,New Generation,72000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,64500.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 4,New Generation,72500.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,90000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,90000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,93000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,64800.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 6,New Generation,68000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,70000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,New Generation,82500.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,New Generation,65000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,New Generation,75000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,61000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,71800.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,75000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,New Generation,60000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,87000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 3,New Generation,70000.0
ANG MO KIO,4 ROOM,ANG MO KIO AVE 10,New Generation,70500.0
